ranking,npsn,nama_sekolah,nilai_total,provinsi,kab_kota,jenis
101,20102563,SMAN 90 JAKARTA ,"579,872",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
1,20623314,MAN INSAN CENDEKIA SERPONG ,"666,494",Prov. Banten,Kota Tangerang Selatan,MA
2,20532145,SMA KATOLIK ST.LOUIS 1 ,"641,482",Prov. Jawa Timur,Kota Surabaya,SMA
3,69978389,SMA PRADITA DIRGANTARA ,"640,747",Prov. Jawa Tengah,Kab. Boyolali,SMA
102,20401130,SMAN 1 MLATI ,"579,749",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
103,20363082,MAN 2 KUDUS ,"579,680",Prov. Jawa Tengah,Kab. Kudus,MA
104,20533660,SMAN 1 ,"579,576",Prov. Jawa Timur,Kota Malang,SMA
4,69941723,MAN INSAN CENDEKIA PEKALONGAN ,"637,499",Prov. Jawa Tengah,Kota Pekalongan,MA
5,20102568,SMAN 8 JAKARTA ,"635,347",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
6,20107313,SMA LABSCHOOL KEBAYORAN ,"634,304",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
105,20101626,SMAN 112 JAKARTA ,"579,163",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
106,20103309,SMAN 58 JAKARTA ,"579,023",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
107,20103278,SMAN 91 JAKARTA ,"577,969",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
7,20100170,SMAS KANISIUS JAKARTA ,"632,269",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
8,20101622,SMAN 2 JAKARTA ,"631,421",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
9,20219730,SMAS BPK 1 PENABUR BANDUNG ,"630,562",Prov. Jawa Barat,Kota Bandung,SMA
108,69941598,MAN INSAN CENDEKIA SIAK ,"577,733",Prov. Riau,Kab. Siak,MA
109,20265518,SMAS ALFA CENTAURI ,"577,561",Prov. Jawa Barat,Kota Bandung,SMA
110,20327966,SMAN 1 SURAKARTA ,"576,569",Prov. Jawa Tengah,Kota Surakarta,SMA
10,20100199,SMAN 68 JAKARTA ,"629,223",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
11,20403161,SMAN 8 YOGYAKARTA ,"628,538",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
12,10263538,SMAS UNGGUL DEL ,"628,100",Prov. Sumatera Utara,Kab. Toba,SMA
111,20102575,SMAN 55 JAKARTA ,"576,486",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
112,20223075,SMAS MARSUDIRINI ,"576,173",Prov. Jawa Barat,Kota Bekasi,SMA
113,20503414,SMA NEGERI 2 JOMBANG ,"576,122",Prov. Jawa Timur,Kab. Jombang,SMA
13,20403174,SMAN 1 YOGYAKARTA ,"625,860",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
14,20107319,SMAN 28 JAKARTA ,"625,145",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
15,20403178,SMAN 3 YOGYAKARTA ,"624,698",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
114,20328895,SMA NEGERI 03 ,"573,904",Prov. Jawa Tengah,Kota Semarang,SMA
115,69941830,MAN INSAN CENDEKIA PASER ,"573,896",Prov. Kalimantan Timur,Kab. Paser,MA
116,20320392,SMA SEDES SAPIENTIAE JAMBU ,"573,563",Prov. Jawa Tengah,Kab. Semarang,SMA
16,20103301,SMAN 81 JAKARTA ,"624,037",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
17,20100601,SMAS KRISTEN 5 BPK PENABUR ,"621,951",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
18,20401146,SMAN 1 GODEAN ,"621,865",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
117,20103310,SMAN 54 JAKARTA ,"573,342",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
19,20580050,MAN 2 KOTA MALANG ,"617,605",Prov. Jawa Timur,Kota Malang,MA
20,69975889,MAN INSAN CENDEKIA KOTA BATAM ,"616,585",Prov. Kepulauan Riau,Kota Batam,MA
118,20100216,SMAN 1 JAKARTA ,"573,001",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
119,10648016,SMAN SUMATERA SELATAN ,"572,852",Prov. Sumatera Selatan,Kota Palembang,SMA
120,20252852,SMAS AL KAHFI ,"572,812",Prov. Jawa Barat,Kab. Bogor,SMA
21,20403171,SMAN 6 YOGYAKARTA ,"616,488",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
22,20103283,SMAN 21 JAKARTA ,"616,405",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
23,20103307,SMAN 61 JAKARTA ,"615,000",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
121,20532087,SMAS SANTA MARIA ,"572,753",Prov. Jawa Timur,Kota Surabaya,SMA
122,20534388,SMAN 2 KEDIRI ,"572,507",Prov. Jawa Timur,Kota Kediri,SMA
123,20229157,SMAS ISLAM TERPADU NURUL FIKRI ,"572,332",Prov. Jawa Barat,Kota Depok,SMA
124,20307712,SMAN 1 MUNTILAN ,"572,184",Prov. Jawa Tengah,Kab. Magelang,SMA
24,30315142,SMAN BANUA KAL SEL ,"613,488",Prov. Kalimantan Selatan,Kab. Banjar,SMA
25,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG ,"613,312",Prov. Banten,Kab. Tangerang,SMA
26,20102214,SMAN 34 JAKARTA ,"613,287",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
125,20309676,SMAN 1 KLATEN ,"571,558",Prov. Jawa Tengah,Kab. Klaten,SMA
126,10210923,SMAS SANTO THOMAS 1 MEDAN ,"571,138",Prov. Sumatera Utara,Kota Medan,SMA
127,10498812,MAN 2 PEKANBARU ,"571,118",Prov. Riau,Kota Pekanbaru,MA
27,20103314,SMAN 48 JAKARTA ,"611,964",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
28,20328915,SMAS KOLESE LOYOLA ,"611,291",Prov. Jawa Tengah,Kota Semarang,SMA
29,20279931,SMAS AL-IRSYAD SATYA  ,"609,602",Prov. Jawa Barat,Kab. Bandung Barat,SMA
128,10210848,SMAS SUTOMO 1 ,"571,025",Prov. Sumatera Utara,Kota Medan,SMA
129,69775444,SMAS IT UMMUL QURO ,"570,976",Prov. Jawa Barat,Kota Bogor,SMA
130,69857710,SMA TRENSAINS TEBUIRENG ,"570,584",Prov. Jawa Timur,Kab. Jombang,SMA
30,20108383,SMAS SANTA URSULA ,"609,237",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
31,69856916,SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG ,"609,216",Prov. Sumatera Selatan,Kota Palembang,SMA
32,20101588,SMAN 78 JAKARTA ,"607,431",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
131,20103306,SMAN 62 JAKARTA ,"570,157",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
132,20533665,SMAN 3 ,"570,129",Prov. Jawa Timur,Kota Malang,SMA
133,20341603,SMAS AL IRSYAD AL ISLAMIYYAH ,"570,089",Prov. Jawa Tengah,Kab. Banyumas,SMA
33,20219263,SMAS ALLOYSIUS 1 ,"605,233",Prov. Jawa Barat,Kota Bandung,SMA
34,20247147,SMAS PESANTREN UNGGUL AL BAYAN ,"604,424",Prov. Jawa Barat,Kab. Sukabumi,SMA
35,60728785,MAN Insan Cendekia Gorontalo ,"603,660",Prov. Gorontalo,Kab. Bone Bolango,MA
134,10211691,SMAS BUDI MULIA ,"569,863",Prov. Sumatera Utara,Kota Pematangsiantar,SMA
135,20103304,SMAN 67 JAKARTA ,"569,059",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
136,20317494,SMAN 1 KUDUS ,"568,729",Prov. Jawa Tengah,Kab. Kudus,SMA
36,20102193,SMAN 47 JAKARTA ,"603,293",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
37,10507942,MAN INSAN CENDEKIA JAMBI ,"602,429",Prov. Jambi,Kab. Muaro Jambi,MA
38,20102218,SMAN 26 JAKARTA ,"602,227",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
137,20103298,SMAN 44 JAKARTA ,"568,474",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
138,10307523,SMAN 1 BUKITTINGGI ,"568,426",Prov. Sumatera Barat,Kota Bukittinggi,SMA
139,69983967,MAN INSAN CENDEKIA GOWA ,"568,164",Prov. Sulawesi Selatan,Kab. Gowa,MA
39,20103223,SMAS LABSCHOOL JAKARTA ,"601,467",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
40,69978962,MAN INSAN CENDEKIA PASURUAN ,"600,516",Prov. Jawa Timur,Kab. Pasuruan,MA
41,20401145,SMAN 1 KALASAN ,"600,355",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
140,20401127,SMAN 1 PAKEM ,"568,097",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
141,20102574,SMAN 6 JAKARTA ,"567,459",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
142,20402778,SMA NEGERI 2 WATES ,"567,443",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
42,20401124,SMAN 1 SLEMAN ,"599,910",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
43,20220343,SMAS REGINA PACIS ,"598,917",Prov. Jawa Barat,Kota Bogor,SMA
44,20402126,SMAN 1 WONOSARI ,"598,569",Prov. D.I. Yogyakarta,Kab. Gunung Kidul,SMA
143,20327987,SMAS REGINA PACIS SURAKARTA ,"567,427",Prov. Jawa Tengah,Kota Surakarta,SMA
144,20403145,SMAS STELLA DUCE 1 ,"567,270",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
145,20177932,MAN 4 JAKARTA ,"567,124",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,MA
45,20103303,SMAN 71 JAKARTA ,"598,365",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
46,20103285,SMAN 12 JAKARTA ,"597,100",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
47,20101589,SMAN 65 JAKARTA ,"595,949",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
146,20327564,SMAN 3 MAGELANG ,"567,117",Prov. Jawa Tengah,Kota Magelang,SMA
147,10304887,SMA NEGERI AGAM CENDEKIA ,"567,106",Prov. Sumatera Barat,Kab. Agam,SMA
148,20532237,SMAN 15 SURABAYA ,"566,644",Prov. Jawa Timur,Kota Surabaya,SMA
149,20532230,SMAN 2 SURABAYA ,"566,601",Prov. Jawa Timur,Kota Surabaya,SMA
48,20532248,SMAN 5 SURABAYA ,"595,634",Prov. Jawa Timur,Kota Surabaya,SMA
49,60724799,SMAS DARMA YUDHA ,"594,667",Prov. Riau,Kota Pekanbaru,SMA
50,69983368,MAN INSAN CENDEKIA PADANG PARIAMAN ,"594,622",Prov. Sumatera Barat,Kab. Padang Pariaman,MA
150,20401132,SMAN 2 NGAGLIK ,"566,439",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
151,20580045,MAN 2 Kota Kediri ,"566,431",Prov. Jawa Timur,Kota Kediri,MA
152,20613477,SMAN 2 KOTA TANGERANG SELATAN ,"566,320",Prov. Banten,Kota Tangerang Selatan,SMA
51,20401156,SMAS KOLESE DE BRITTO DEPOK ,"594,617",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
52,20253599,SMAS PENABUR ,"594,090",Prov. Jawa Barat,Kota Bekasi,SMA
53,20102212,SMAN 38 JAKARTA ,"593,853",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
153,20330921,SMA TRENSAINS MUHAMMADIYAH SRAGEN ,"566,187",Prov. Jawa Tengah,Kab. Sragen,SMA
154,20327969,SMAN 4 SURAKARTA ,"565,684",Prov. Jawa Tengah,Kota Surakarta,SMA
54,20102592,SMAN 49 JAKARTA ,"593,747",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
55,20401161,SMAN 1 DEPOK ,"593,477",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
56,20403170,SMAN 7 YOGYAKARTA ,"593,277",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
155,20400406,SMA NEGERI 1 BANGUNTAPAN ,"565,620",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
156,10303462,SMAN 10 PADANG ,"565,617",Prov. Sumatera Barat,Kota Padang,SMA
157,10100170,SMA NEGERI MODAL BANGSA ,"565,451",Prov. Aceh,Kab. Aceh Besar,SMA
57,20403375,MAN 1 YOGYAKARTA ,"592,462",Prov. D.I. Yogyakarta,Kota Yogyakarta,MA
58,20103296,SMAN 39 JAKARTA ,"592,409",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
59,20403180,SMAN 5 YOGYAKARTA ,"591,220",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
158,20200691,SMAN 2 CIBINONG ,"565,413",Prov. Jawa Barat,Kab. Bogor,SMA
